,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
20,KTR,2024-02-16,2024-02-20,4,Friday,36283,EUR,37254,499997,2959,0.07450844705068231,0.07942771246040693,0.005918035508213049,25-45,B,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
21,BYU,2025-07-26,2026-12-26,518,Saturday,886045,USD,17797,499997,819560,0.03559421356528139,46.05045794234984,1.6391298347790086,30-35,M,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
22,KTR,2025-02-03,2025-07-23,170,Monday,469455,EUR,59888,500002,216819,0.1197755208979164,3.6204080951108737,0.43363626545493816,20-40,M,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
23,BYU,2024-09-08,2026-04-14,583,Sunday,289981,GBP,24343,500000,49409,0.048686,2.0297005299264677,0.098818,45-50,F,efields,tranmonica@example.com,Christopher Lopez,M,69
24,AKX,2024-12-21,2026-11-18,697,Saturday,41373,EUR,23438,500001,1615,0.0468759062481875,0.0689051966891373,0.00322999354001292,25-40,B,efields,tranmonica@example.com,Christopher Lopez,M,69
25,GRZ,2025-02-12,2026-10-12,607,Wednesday,7890,GBP,45058,499997,1095,0.0901165406992442,0.024302010741710685,0.0021900131400788407,40-55,F,efields,tranmonica@example.com,Christopher Lopez,M,69
26,AKX,2024-12-01,2025-04-25,145,Sunday,911468,EUR,39993,500001,713893,0.07998584002831995,17.850448828544994,1.4277831444337112,20-25,F,efields,tranmonica@example.com,Christopher Lopez,M,69
27,BYU,2024-12-15,2026-09-30,654,Sunday,547732,EUR,43265,499998,324351,0.08653034612138448,7.496845024846874,0.6487045948183793,30-40,B,efields,tranmonica@example.com,Christopher Lopez,M,69
28,BYU,2024-08-02,2024-09-13,42,Friday,641567,EUR,49122,499999,559749,0.09824419648839297,11.395077561988519,1.119500239000478,30-45,M,efields,tranmonica@example.com,Christopher Lopez,M,69
29,GRZ,2024-08-29,2025-12-11,469,Thursday,976857,USD,24753,499998,479678,0.0495061980247921,19.37858037409607,0.9593598374393497,20-25,M,efields,tranmonica@example.com,Christopher Lopez,M,69
30,KTR,2024-02-23,2025-02-01,344,Friday,114757,USD,47702,500002,74835,0.09540361838552645,1.5688021466605173,0.1496694013223947,20-30,M,bethbryant,reginawhite@example.net,Tracy Lopez,M,28
31,AKX,2025-10-07,2026-01-28,113,Tuesday,925734,USD,38424,500003,865690,0.0768475389147665,22.52992921090985,1.7313696117823294,35-55,M,bethbryant,reginawhite@example.net,Tracy Lopez,M,28
32,GRZ,2024-05-18,2024-11-13,179,Saturday,474871,EUR,14880,500002,62265,0.02975988096047616,4.184475806451613,0.12452950188199247,30-40,B,bethbryant,reginawhite@example.net,Tracy Lopez,M,28
33,BYU,2025-10-02,2027-08-29,696,Thursday,640980,EUR,64949,500003,285161,0.1298972206166763,4.390537190718872,0.5703185780885315,20-30,M,bethbryant,reginawhite@example.net,Tracy Lopez,M,28
34,GRZ,2023-10-23,2024-09-13,326,Monday,393754,EUR,23270,500001,242218,0.04653990692018616,10.409024495058015,0.48443503112993774,30-35,F,justin95,perrylinda@example.net,Diane Montes,F,54
35,BYU,2025-06-30,2027-02-07,587,Monday,870177,GBP,53317,500002,839477,0.10663357346570614,15.745015661046196,1.6789472842108633,25-50,B,justin95,perrylinda@example.net,Diane Montes,F,54
36,BYU,2024-01-23,2024-07-24,183,Tuesday,317772,USD,52484,499998,301287,0.1049684198736795,5.740549500800244,0.6025764103056412,35-45,M,justin95,perrylinda@example.net,Diane Montes,F,54
37,KTR,2024-11-05,2026-11-03,728,Tuesday,715453,EUR,21812,499995,604041,0.04362443624436244,27.693058866678893,1.2080940809408094,30-45,B,justin95,perrylinda@example.net,Diane Montes,F,54
38,BYU,2024-10-10,2026-08-02,661,Thursday,830590,USD,26082,500000,541751,0.052164,20.771068169618893,1.083502,25-30,M,andrewlove,sjackson@example.net,Wendy Quinn,F,75
39,KTR,2024-01-18,2024-03-01,43,Thursday,769591,USD,32376,500000,160020,0.064752,4.942550037064493,0.32004,45-70,M,andrewlove,sjackson@example.net,Wendy Quinn,F,75
40,AKX,2025-04-10,2027-01-22,652,Thursday,28621,USD,64236,499997,11805,0.12847277083662503,0.18377545301699982,0.023610141660849966,25-35,B,jackchapman,kaitlinporter@example.org,Barbara Torres,F,43
41,BYU,2025-05-29,2026-07-28,425,Thursday,797336,EUR,39366,499998,346556,0.07873231492925972,8.80343443580755,0.6931147724590898,30-50,M,jackchapman,kaitlinporter@example.org,Barbara Torres,F,43
42,BYU,2025-01-09,2026-08-22,590,Thursday,643436,USD,42180,500001,471846,0.08435983128033744,11.186486486486487,0.9436901126197748,45-70,M,jackchapman,kaitlinporter@example.org,Barbara Torres,F,43
43,AKX,2025-07-02,2027-03-27,633,Wednesday,59144,EUR,49497,500000,33267,0.098994,0.6721013394751197,0.066534,30-50,F,samantha82,smclaughlin@example.com,Larry Harris,M,26
44,KTR,2025-04-10,2026-10-18,556,Thursday,657836,USD,11396,499999,570771,0.022792045584091168,50.08520533520534,1.1415442830885663,25-30,B,samantha82,smclaughlin@example.com,Larry Harris,M,26
45,AKX,2023-11-28,2025-07-16,596,Tuesday,344324,GBP,45918,499999,296102,0.09183618367236734,6.448495143516704,0.5922051844103688,20-40,M,samantha82,smclaughlin@example.com,Larry Harris,M,26
46,KTR,2023-10-20,2024-10-06,352,Friday,452670,GBP,26358,499996,442209,0.05271642173137385,16.77703164124744,0.8844250754006032,20-25,M,samantha82,smclaughlin@example.com,Larry Harris,M,26
47,BYU,2023-10-27,2025-08-28,671,Friday,386565,GBP,18848,499996,296216,0.037696301570412566,15.716044142614601,0.592436739493916,30-40,F,samantha82,smclaughlin@example.com,Larry Harris,M,26
48,BYU,2024-09-05,2025-04-13,220,Thursday,789347,EUR,27668,500001,594865,0.055335889328221345,21.50010842850947,1.189727620544759,30-50,M,samantha82,smclaughlin@example.com,Larry Harris,M,26
49,BYU,2024-01-06,2024-06-05,151,Saturday,568390,EUR,38497,500001,415277,0.07699384601230798,10.787256149829856,0.8305523388953222,20-40,B,samantha82,smclaughlin@example.com,Larry Harris,M,26
50,AKX,2024-01-31,2024-02-20,20,Wednesday,460406,USD,28641,500000,148698,0.057282,5.1917879962291815,0.297396,45-70,M,samantha82,smclaughlin@example.com,Larry Harris,M,26
51,GRZ,2023-12-18,2025-01-12,391,Monday,39381,USD,47923,499998,13437,0.09584638338553354,0.28038728794107215,0.026874107496429985,20-45,B,morganmelissa,michaelcole@example.com,Debra Klein,F,23
52,KTR,2024-03-10,2024-04-25,46,Sunday,693989,EUR,23005,499999,43645,0.04601009202018404,1.897196261682243,0.08729017458034916,30-35,F,morganmelissa,michaelcole@example.com,Debra Klein,F,23
53,KTR,2024-01-03,2024-05-21,139,Wednesday,782432,EUR,21397,500002,700740,0.0427938288246847,32.74945085759686,1.4014743941024237,30-50,M,karenburton,jonathan61@example.com,Daniel Orr,M,65
54,GRZ,2024-09-12,2026-04-15,580,Thursday,775752,GBP,72109,499997,540301,0.1442188653131919,7.492837232522986,1.080608483650902,20-45,F,karenburton,jonathan61@example.com,Daniel Orr,M,65
55,BYU,2023-12-08,2024-08-12,248,Friday,45463,USD,77462,499998,24288,0.1549246196984788,0.3135472877023573,0.04857619430477722,20-35,M,karenburton,jonathan61@example.com,Daniel Orr,M,65
56,BYU,2024-02-10,2024-07-10,151,Saturday,737366,EUR,42879,500000,419929,0.085758,9.793348725483337,0.839858,20-45,F,karenburton,jonathan61@example.com,Daniel Orr,M,65
57,BYU,2025-02-08,2025-10-18,252,Saturday,337812,USD,93526,500001,214035,0.1870516258967482,2.2885080084682334,0.4280691438617123,45-70,F,karenburton,jonathan61@example.com,Daniel Orr,M,65
58,BYU,2024-01-31,2024-09-27,240,Wednesday,181061,EUR,43902,500000,43430,0.087804,0.9892487813767027,0.08686,30-55,M,karenburton,jonathan61@example.com,Daniel Orr,M,65
59,BYU,2024-02-15,2025-05-10,450,Thursday,401258,GBP,21997,500000,222342,0.043994,10.107832886302678,0.444684,30-55,M,davidturner,dscott@example.org,Sean Martin,M,75
60,GRZ,2024-11-09,2026-04-04,511,Saturday,315090,USD,64113,500000,302756,0.128226,4.722224821799011,0.605512,20-35,F,davidturner,dscott@example.org,Sean Martin,M,75
61,KTR,2024-12-17,2026-10-20,672,Tuesday,513236,GBP,27634,500000,28757,0.055268,1.0406383440689007,0.057514,35-40,F,davidturner,dscott@example.org,Sean Martin,M,75
62,AKX,2024-11-15,2026-02-22,464,Friday,46825,USD,13631,499999,43319,0.02726205452410905,3.1779766708238575,0.08663817327634656,30-40,M,davidturner,dscott@example.org,Sean Martin,M,75
63,KTR,2025-02-19,2025-05-17,87,Wednesday,22127,GBP,22691,499997,16479,0.045382272293633764,0.7262350711735931,0.03295819774918649,45-65,F,davidturner,dscott@example.org,Sean Martin,M,75
64,GRZ,2025-06-05,2025-07-24,49,Thursday,216444,EUR,31854,499999,51078,0.06370812741625484,1.6035034846487097,0.10215620431240863,20-35,F,davidturner,dscott@example.org,Sean Martin,M,75
65,GRZ,2025-08-15,2026-02-23,192,Friday,674355,GBP,44852,500001,365143,0.08970382059235882,8.14106394363685,0.7302845394309211,25-45,F,davidturner,dscott@example.org,Sean Martin,M,75
66,KTR,2025-07-24,2027-03-10,594,Thursday,434508,GBP,37163,500000,206089,0.074326,5.545542609584802,0.412178,30-50,B,johnsonsheila,laura94@example.com,Rebecca Erickson,F,30
67,BYU,2024-06-01,2024-12-24,206,Saturday,386618,GBP,72613,499996,305908,0.14522716181729453,4.212854447550714,0.6118208945671565,25-35,B,johnsonsheila,laura94@example.com,Rebecca Erickson,F,30
68,KTR,2025-09-09,2026-06-18,282,Tuesday,911507,EUR,35844,499997,594872,0.07168843013058078,16.59613882379199,1.1897511385068311,40-50,F,johnsonsheila,laura94@example.com,Rebecca Erickson,F,30
69,GRZ,2024-02-02,2025-08-08,553,Friday,912482,EUR,84728,500000,676358,0.169456,7.982697573411387,1.352716,45-60,F,johnsonsheila,laura94@example.com,Rebecca Erickson,F,30
70,KTR,2025-09-20,2027-07-06,654,Saturday,131040,USD,63345,500001,67259,0.12668974662050675,1.0617886178861788,0.13451773096453806,40-65,M,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
71,KTR,2024-08-21,2025-12-17,483,Wednesday,667205,USD,75559,499999,61129,0.15111830223660447,0.8090234121679747,0.12225824451648903,25-50,B,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
72,AKX,2024-05-27,2025-06-29,398,Monday,517800,USD,35396,500000,346939,0.070792,9.801644253587977,0.693878,40-55,F,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
73,AKX,2025-08-29,2026-12-22,480,Friday,586277,EUR,27266,499998,530026,0.05453221812887252,19.4390816401379,1.060056240224961,20-25,F,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
74,AKX,2024-05-17,2025-03-25,312,Friday,138018,GBP,35963,500000,45813,0.071926,1.2738926118510692,0.091626,25-50,B,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
75,KTR,2023-12-16,2024-08-18,246,Saturday,144586,EUR,49478,499999,113885,0.09895619791239582,2.3017300618456686,0.22777045554091108,45-50,F,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
76,AKX,2024-08-15,2025-01-02,140,Thursday,846855,GBP,64407,500001,319038,0.12881374237251525,4.953467790768085,0.6380747238505523,25-45,B,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
77,BYU,2024-10-05,2025-02-13,131,Saturday,1283,USD,15493,499999,244,0.030986061972123943,0.015749047957141934,0.000488000976001952,25-40,F,rebeccatownsend,erintaylor@example.net,Laura Herring,F,79
78,BYU,2025-02-18,2025-03-02,12,Tuesday,643514,EUR,34000,499998,409341,0.068000272001088,12.039441176470588,0.818685274741099,25-35,B,heidi36,hesterashlee@example.com,Jordan Martin,M,21
79,AKX,2024-05-16,2024-11-12,180,Thursday,811757,GBP,45226,499997,109576,0.0904525427152563,2.4228541104674304,0.2191533149198895,35-45,F,heidi36,hesterashlee@example.com,Jordan Martin,M,21
80,BYU,2025-08-12,2025-08-18,6,Tuesday,92596,GBP,44596,499997,81569,0.08919253515521093,1.829065387030227,0.16313897883387302,45-50,F,heidi36,hesterashlee@example.com,Jordan Martin,M,21
81,GRZ,2025-05-18,2026-03-12,298,Sunday,962453,EUR,36638,500002,784614,0.07327570689717242,21.41530651236421,1.5692217231131076,20-25,B,heidi36,hesterashlee@example.com,Jordan Martin,M,21
82,KTR,2025-06-11,2027-04-15,673,Wednesday,952546,EUR,10236,499998,504300,0.020472081888327553,49.2672919109027,1.0086040344161378,35-40,F,heidi36,hesterashlee@example.com,Jordan Martin,M,21
83,GRZ,2024-06-01,2026-02-07,616,Saturday,809887,USD,57111,499996,427244,0.11422291378331027,7.480940624398102,0.8544948359586877,40-55,F,heidi36,hesterashlee@example.com,Jordan Martin,M,21
84,KTR,2025-01-29,2026-11-16,656,Wednesday,586444,GBP,30435,500001,352575,0.06086987826024348,11.584524396254313,0.7051485897028206,35-45,M,heidi36,hesterashlee@example.com,Jordan Martin,M,21
85,BYU,2024-11-25,2025-02-11,78,Monday,990629,GBP,5589,499996,839266,0.011178089424715397,150.163893361961,1.678545428363427,35-45,F,christineschultz,timothyperez@example.net,Tamara Ramirez,F,52
86,BYU,2023-12-10,2024-10-25,320,Sunday,987518,GBP,26834,500002,650613,0.053667785328858686,24.245844823731087,1.3012207951168195,45-60,B,christineschultz,timothyperez@example.net,Tamara Ramirez,F,52
87,GRZ,2023-12-13,2025-01-06,390,Wednesday,471331,EUR,37029,500002,425662,0.07405770376918493,11.495368494963406,0.8513205947176211,30-35,M,christineschultz,timothyperez@example.net,Tamara Ramirez,F,52
88,GRZ,2023-12-20,2025-08-25,614,Wednesday,753414,USD,28424,499999,741269,0.056848113696227394,26.078982549957782,1.4825409650819301,40-60,B,christineschultz,timothyperez@example.net,Tamara Ramirez,F,52
89,KTR,2024-01-27,2025-09-17,599,Saturday,502307,EUR,32591,499999,202707,0.06518213036426072,6.2197232364763275,0.40541481082962166,25-30,B,stacy24,qvasquez@example.org,Christopher Curry,M,59
90,AKX,2024-04-11,2025-12-08,606,Thursday,356665,USD,6676,499997,286563,0.013352080112480675,42.92435590173757,0.5731294387766327,25-40,F,stacy24,qvasquez@example.org,Christopher Curry,M,59
91,KTR,2024-05-16,2024-06-03,18,Thursday,155998,USD,29871,500000,18768,0.059742,0.628301697298383,0.037536,30-45,M,stacy24,qvasquez@example.org,Christopher Curry,M,59
92,AKX,2023-12-31,2025-12-03,703,Sunday,995679,EUR,56140,499999,710878,0.11228022456044912,12.662593516209476,1.421758843517687,20-35,B,stacy24,qvasquez@example.org,Christopher Curry,M,59
93,GRZ,2023-12-11,2025-05-11,517,Monday,535129,EUR,13008,500002,89554,0.026015895936416254,6.884532595325953,0.17910728357086572,45-55,B,stacy24,qvasquez@example.org,Christopher Curry,M,59
94,BYU,2025-04-30,2026-02-12,288,Wednesday,7038,EUR,61292,499998,2148,0.12258449033796136,0.03504535665339686,0.004296017184068736,35-50,M,williamspeter,melindamoore@example.org,Jerry Perez,M,39
95,KTR,2025-10-11,2027-03-18,523,Saturday,616121,GBP,45511,500001,201673,0.09102181795636409,4.431302322515436,0.4033451933096134,25-50,M,williamspeter,melindamoore@example.org,Jerry Perez,M,39
96,KTR,2025-07-11,2027-03-24,621,Friday,965877,USD,90829,499999,583677,0.18165836331672663,6.426108401501723,1.1673563347126694,35-55,B,williamspeter,melindamoore@example.org,Jerry Perez,M,39
97,AKX,2025-02-27,2025-08-08,162,Thursday,799412,GBP,22862,499999,493913,0.045724091448182895,21.604102878138395,0.9878279756559513,45-60,M,williamspeter,melindamoore@example.org,Jerry Perez,M,39
98,AKX,2025-03-05,2025-08-18,166,Wednesday,447395,EUR,41784,500002,290073,0.08356766572933708,6.942202757036186,0.5801436794252823,25-30,M,williamspeter,melindamoore@example.org,Jerry Perez,M,39
99,GRZ,2025-10-01,2026-07-23,295,Wednesday,840843,GBP,47592,500001,839238,0.09518380963238074,17.634014120020172,1.6784726430547139,40-65,B,williamspeter,melindamoore@example.org,Jerry Perez,M,39
100,BYU,2024-07-24,2025-03-29,248,Wednesday,445295,USD,39270,499999,353621,0.07854015708031416,9.004863763687293,0.7072434144868289,40-50,B,williamspeter,melindamoore@example.org,Jerry Perez,M,39
101,KTR,2025-05-21,2026-12-28,586,Wednesday,115067,GBP,58587,500002,97487,0.11717353130587478,1.6639698226569035,0.19497322010711957,45-70,B,xyoung,kristie39@example.org,Donald Young,M,85
102,AKX,2025-06-05,2025-12-28,206,Thursday,559193,EUR,22397,500000,536087,0.044794,23.93566102603027,1.072174,45-50,F,xyoung,kristie39@example.org,Donald Young,M,85
103,AKX,2024-07-25,2024-11-08,106,Thursday,956644,GBP,55650,499998,618396,0.11130044520178081,11.112237196765498,1.2367969471877887,40-60,M,franconicholas,kellyanthony@example.org,David Walker,M,84
104,AKX,2024-02-25,2026-02-16,722,Sunday,83305,GBP,42045,499998,52734,0.08409033636134544,1.254227613271495,0.10546842187368749,40-60,F,franconicholas,kellyanthony@example.org,David Walker,M,84
105,GRZ,2024-01-23,2025-07-02,526,Tuesday,67212,EUR,39812,500004,12007,0.0796233630130959,0.30159248467798655,0.024013807889536883,30-35,F,franconicholas,kellyanthony@example.org,David Walker,M,84
106,GRZ,2024-11-06,2025-10-28,356,Wednesday,395044,GBP,28325,500002,215637,0.0566497734009064,7.6129567519858785,0.43127227491090037,40-65,B,gordonmeghan,williamfoster@example.net,Tracy Moore,M,39
107,KTR,2025-06-28,2026-05-18,324,Saturday,339741,EUR,22658,499998,112919,0.04531618126472506,4.98362609232942,0.22583890335561344,40-55,B,gordonmeghan,williamfoster@example.net,Tracy Moore,M,39
108,KTR,2024-04-25,2024-12-11,230,Thursday,163363,EUR,38182,499999,141318,0.07636415272830546,3.7011680896757633,0.2826365652731305,30-35,M,gordonmeghan,williamfoster@example.net,Tracy Moore,M,39
109,BYU,2025-02-02,2026-10-21,626,Sunday,878066,GBP,75640,499998,335754,0.1512806051224205,4.438841882601798,0.6715106860427442,35-50,M,gordonmeghan,williamfoster@example.net,Tracy Moore,M,39
110,GRZ,2025-04-08,2025-04-11,3,Tuesday,121228,EUR,57428,499998,97944,0.1148564594258377,1.705509507557289,0.19588878355513423,40-60,M,destiny65,matthewdixon@example.com,Gregory Oneill,M,25
111,KTR,2024-05-27,2024-12-10,197,Monday,294802,EUR,26552,500000,38279,0.053104,1.4416616450738173,0.076558,25-40,B,destiny65,matthewdixon@example.com,Gregory Oneill,M,25
112,BYU,2023-12-22,2025-09-10,628,Friday,742427,USD,25703,499999,205302,0.051406102812205624,7.987472279500447,0.4106048212096424,20-35,F,zchambers,victor26@example.net,Christina Ellison,F,68
113,KTR,2025-06-02,2026-01-30,242,Monday,947819,EUR,5646,499998,731398,0.011292045168180673,129.54268508678712,1.4628018512074048,20-35,B,zchambers,victor26@example.net,Christina Ellison,F,68
114,AKX,2025-09-29,2026-07-16,290,Monday,860421,EUR,55403,500002,339334,0.11080555677777289,6.124830785336534,0.6786652853388586,30-55,M,zchambers,victor26@example.net,Christina Ellison,F,68
115,KTR,2025-08-08,2026-04-28,263,Friday,865049,USD,14916,499997,233080,0.029832178993073957,15.626173236792706,0.46616279697678187,25-50,F,zchambers,victor26@example.net,Christina Ellison,F,68
116,BYU,2023-12-09,2025-02-24,443,Saturday,458568,GBP,55830,499999,438473,0.11166022332044664,7.853716639799391,0.8769477538955078,35-60,F,thorntonmichelle,sara60@example.com,Sarah Medina,F,37
117,BYU,2023-10-22,2023-11-18,27,Sunday,858794,GBP,58758,500000,136544,0.117516,2.3238367541441165,0.273088,40-60,M,thorntonmichelle,sara60@example.com,Sarah Medina,F,37
118,KTR,2025-09-05,2026-04-25,232,Friday,878570,GBP,83974,500002,533565,0.16794732821068717,6.353930978636244,1.067125731497074,45-70,M,thorntonmichelle,sara60@example.com,Sarah Medina,F,37
119,KTR,2024-05-06,2024-08-30,116,Monday,45112,GBP,54499,500001,9447,0.108997782004436,0.17334263014000256,0.018893962212075576,45-50,B,changtyler,valerierichards@example.net,Steven Smith,M,64
120,BYU,2023-11-15,2024-04-08,145,Wednesday,469458,USD,37636,499998,215357,0.07527230108920435,5.722101179721543,0.43071572286289145,30-35,F,changtyler,valerierichards@example.net,Steven Smith,M,64
121,KTR,2024-03-02,2025-03-09,372,Saturday,790049,EUR,46466,499999,593567,0.09293218586437173,12.774222011793569,1.1871363742727485,35-50,F,changtyler,valerierichards@example.net,Steven Smith,M,64
122,BYU,2023-11-21,2025-05-11,537,Tuesday,455940,USD,31564,500000,118175,0.063128,3.7439804840958053,0.23635,30-50,F,changtyler,valerierichards@example.net,Steven Smith,M,64
123,AKX,2025-02-01,2026-09-25,601,Saturday,355708,USD,55117,499999,352743,0.11023422046844093,6.399894769308925,0.7054874109748219,40-60,B,changtyler,valerierichards@example.net,Steven Smith,M,64
124,KTR,2025-01-31,2025-07-05,155,Friday,305414,GBP,43225,500003,255928,0.08644948130311218,5.920832851359167,0.5118529288824267,25-35,F,changtyler,valerierichards@example.net,Steven Smith,M,64
125,GRZ,2025-03-05,2025-07-28,145,Wednesday,798057,USD,37675,499999,113327,0.0753501507003014,3.008015925680159,0.22665445330890663,20-35,M,changtyler,valerierichards@example.net,Steven Smith,M,64
126,AKX,2024-08-02,2026-03-18,593,Friday,821125,USD,29805,499999,120493,0.05961011922023844,4.042710954537829,0.24098648197296393,40-55,B,ypitts,robinsonchristopher@example.com,Albert Thomas,M,50
127,GRZ,2024-08-19,2025-01-24,158,Monday,823258,USD,34265,499999,485969,0.06853013706027412,14.182664526484752,0.9719399438798878,20-30,F,ypitts,robinsonchristopher@example.com,Albert Thomas,M,50
128,AKX,2024-12-27,2025-10-09,286,Friday,946168,USD,10334,500002,938972,0.020667917328330686,90.86239597445326,1.877936488254047,40-60,F,ypitts,robinsonchristopher@example.com,Albert Thomas,M,50
129,KTR,2025-09-16,2027-03-07,537,Tuesday,558635,GBP,25593,500001,226298,0.051185897628204746,8.842183409526042,0.45259509480981036,40-55,B,ypitts,robinsonchristopher@example.com,Albert Thomas,M,50
130,KTR,2025-04-22,2025-05-19,27,Tuesday,512812,USD,74051,500001,279573,0.1481017037965924,3.7754115406949267,0.5591448817102366,20-45,F,wendy50,lkent@example.net,Christopher Sims,M,28
131,AKX,2025-07-09,2026-07-20,376,Wednesday,900570,GBP,20324,499997,635681,0.04064824388946334,31.277356819523717,1.2713696282177693,40-65,M,wendy50,lkent@example.net,Christopher Sims,M,28
132,KTR,2023-10-24,2024-05-26,215,Tuesday,963854,USD,35989,500000,752254,0.071978,20.90233126788741,1.504508,45-65,F,wendy50,lkent@example.net,Christopher Sims,M,28
133,AKX,2024-03-07,2026-02-07,702,Thursday,250502,GBP,35547,499998,89965,0.07109428437713751,2.5308746167046445,0.17993071972287888,20-35,B,wendy50,lkent@example.net,Christopher Sims,M,28
134,GRZ,2024-11-21,2026-03-01,465,Thursday,452290,GBP,34410,500000,301037,0.06882,8.748532403371113,0.602074,35-45,F,wendy50,lkent@example.net,Christopher Sims,M,28
135,KTR,2025-03-13,2026-03-11,363,Thursday,97944,USD,76758,499999,7831,0.15351630703261407,0.1020219390812684,0.015662031324062648,20-25,B,wendy50,lkent@example.net,Christopher Sims,M,28
136,BYU,2024-12-03,2026-07-12,586,Tuesday,367759,EUR,3214,499998,265728,0.0064280257121028484,82.67828251400124,0.5314581258325033,40-45,M,egonzalez,williampham@example.net,Russell Thompson,M,47
